,id,alias,name,description,subscriptionCount,subscribed,read,createdAt,updatedAt,canPost,ignorePost,invisible,isSchool,fullyAnonymous,canUseNickname,shouldCategorized,shouldPostCategorized,hasPostCategories,titlePlaceholder,postTitlePlaceholder,subcategories,topics,nsfw,limitCountries,limitStage,availableLayouts,favorite,postThumbnail.size,ipCountryCondition.exclude,ipCountryCondition.include,postCount.last30Days,heroImage.url,heroImage.type,heroImage.width,heroImage.height,logo.url,logo.type,logo.width,logo.height,mediaThreshold.RACY,mediaThreshold.ADULT,mediaThreshold.VIOLENCE
373,1ce3ebca-8701-42d5-b14c-076fc629bc8e,sex,西斯,西斯板（Sex）提供男女私密話題分享或性教育等情慾議題討論，若有性方面相關問題也可在此發問。（發文前請詳閱板規。）,546171,False,False,2020-02-04T07:52:53.573Z,2020-07-24T06:30:32.795Z,False,True,True,False,True,True,False,False,False,發文請記得在下一頁加入話題或其他相關分類喲！,,"['創作', '知識', '圖文']","['A片', '甲', '小熊貝爾', 'Les', '無碼片', 'NTR', '內射', '自慰', '3P', '外流', '意淫自拍OL黑絲', '玩具大賞', '情趣用品', '大雞雞', '保險套', '約炮', 'H漫', '調教', '潤滑液', '做愛']",True,[],0,['classic'],False,small,,,4503,https://megapx-assets.dcard.tw/images/50a4b6e7-fe05-493c-af56-ac63a1a73259/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/24f4f7ef-c308-4c37-80dc-349fd47cf71a/full.jpeg,image/jpeg,200.0,200.0,1.0,1.0,1.0
228,42851318-b9e2-4a75-8a05-9fe180becefe,relationship,感情,無論是遠距離戀愛、情侶間的有趣互動、分手後的藕斷絲連等...都可以在感情板分享你們的愛情故事，找到愛情路上的共感。,476559,False,False,2020-02-04T07:28:43.573Z,2021-04-08T06:38:09.230Z,False,False,False,False,True,True,False,False,False,發文記得加入「話題」分類喲！,,"['曖昧', '閃光', '劈腿', '失戀', '分手', '告白']","['微西斯', '愛情', '閃光', '價值觀', '告白', '分手', '遠距離', '失戀', '曖昧', '做愛', '在一起', '學長', '交友軟體', '七夕', '單身', '渣男', '第一次', '同居', '暗戀', '復合', '木頭男友', '綠帽', '撒嬌', '劈腿', '大叔', '脫魯', '同事', '情人節', '菜桃貴', '一個人', '生理期', '約會', '月老', '警察', '熱戀期', '學妹', '旅行', '生日禮物']",False,[],0,['classic'],False,small,[],[],9364,https://megapx-assets.dcard.tw/images/b7d2dc32-cccb-4afa-8291-781164fd4691/orig.jpeg,image/jpeg,7500.0,2500.0,https://megapx-assets.dcard.tw/images/c99966a1-03f9-4a69-86d4-df979a970496/full.jpeg,image/jpeg,200.0,200.0,,,
224,be1a095b-175e-4523-9e06-66a05d939676,dressup,穿搭,"穿搭板提供各種服裝搭配、包鞋、飾品配件等相關話題討論。
歡迎分享自己的日常穿搭，或任何潮流相關話題也可以在此發文詢問！",460182,False,False,2020-02-04T07:28:03.573Z,2021-04-08T07:02:19.674Z,False,False,False,False,False,True,False,False,False,發文記得加入「話題」分類喲！,,"['精選', '日常', '正式', '情侶', '鞋款']","['ROBINMAY', '蝦皮', '耳環', '襯衫', '工裝', '後背包', '寬褲', '淘寶', '涼鞋', '洋裝', '情侶穿搭', '鞋子', '韓系穿搭', '背包', '眼鏡', '白襯衫', '牛仔褲', '腰包', '日系穿搭', '餅乾鞋', '外套', '背心', '長夾', '古著', '女生穿搭', '男生穿搭', '日常穿搭', '肉肉女穿搭', '雨衣', '小隻女穿搭', '真理褲', '校園穿搭', '帆布鞋', '歐美風', '球鞋', 'Converse', '中性穿搭', '顯瘦穿搭', '婚禮穿搭', '泳裝', '約會穿搭', '罩衫', '重複穿搭', '姊妹穿搭', '復古風']",False,[],0,"['classic', 'link']",False,small,[],[],1438,https://megapx-assets.dcard.tw/images/face819a-591d-4636-8eab-86529e6b07f0/orig.jpeg,image/jpeg,1801.0,601.0,https://megapx-assets.dcard.tw/images/cd6b2192-5a0a-4dad-b571-2f0ca051a646/orig.jpeg,image/jpeg,200.0,200.0,,,
217,cbd5285f-3cba-4bfc-86d0-1ab52d201459,makeup,美妝,不管你喜歡開架彩妝還是專櫃彩妝，美妝板提供各種最新彩妝開箱評比、粉底色號、唇膏試色、眼影試色、保養品推薦等你來討論！,380613,False,False,2020-02-04T07:26:53.573Z,2021-03-26T08:41:43.473Z,False,False,False,False,False,True,False,False,True,發文請記得在下一步驟加入「相關話題」或其他相關分類喲！,發文前請選擇標題分類，提高文章曝光度喔！❤️,"['精選', '底妝', '眼妝', '唇彩', '保養', '情報']","['防曬', '粉餅', '受受狼', '刷具', '遮瑕', '粉刺', '打亮', '眼影', '粉底', '眉筆', '粉底液', '美白', '隱眼', '蜜粉', '面膜', '眼線', '修容', '二手拍', '唇膏試色', '眉毛', '保養', '日常妝容', '唇彩', '底妝', '敏感肌', '口紅', '腮紅', '眼妝', '凹凹賞', '空空賞', '指甲油', '男生保養', '約會妝容', '開架彩妝', '香水', '醫美']",False,[],0,['classic'],False,small,[],[],2798,https://megapx-assets.dcard.tw/images/9c97615a-e424-4db5-91aa-4cfb5f03f60b/orig.jpeg,image/jpeg,1801.0,601.0,https://megapx-assets.dcard.tw/images/f5ff9184-1c01-4d22-a246-20bf0b057745/full.jpeg,image/jpeg,200.0,200.0,,,
273,de977130-f3eb-467b-822e-b0e91124e9eb,food,美食,美食板歡迎分享各種吃貨食記心得，或提供手搖飲料、校園美食、美食情報等文章！,314843,False,False,2020-02-04T07:36:13.573Z,2021-04-08T06:38:43.181Z,False,False,False,False,False,True,True,False,False,發文記得加入「話題」分類喲！,,"['精選', '食譜', '食記', '評比', '超商']","['台中美食', '高雄美食', '台南美食', '台北美食', '新竹美食', '板橋美食', '全聯', '711', '嘉義美食', '全家', '花蓮美食', '屏東美食', '貓咪咖啡廳', '宜蘭美食', '桃園美食', '學餐', '肯德基', '超商', '全聯牛奶糖季', '甜點', '台中美食', '銅板美食', '燒烤', '外國學餐', '嘉義美食', '手搖飲', '早午餐', '居酒屋', '餐飲店員告訴你', '下午茶', '飛機餐', '火鍋', '自助餐', '咖啡廳', '調酒']",False,[],0,"['classic', 'link', 'image', 'video']",False,large,[],[],1735,https://megapx-assets.dcard.tw/images/314f0f8c-6ef8-43e1-a0b5-7c676cf022ff/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/24f78ac5-0501-4258-a8df-59265fdff614/full.jpeg,image/jpeg,200.0,200.0,,,
270,4c6964fc-8b39-4480-a844-847f09e4e09d,horoscopes,星座,星座版提供各種星座運勢、心理測驗、星座感情分享，或是有任何塔羅占卜相關的專業知識也可在此發文討論！,307494,False,False,2020-02-04T07:35:43.573Z,2021-04-08T07:00:14.871Z,False,False,False,False,True,True,True,False,False,發文記得加入「話題」分類喲！,,"['占卜', '心理測驗', '白羊', '金牛', '雙子', '巨蟹', '獅子', '處女', '天秤', '天蠍', '射手', '摩羯', '水瓶', '雙魚']","['心理測驗', '占卜', '雙魚', '射手', '天蠍', '雙子', '巨蟹', '白羊', '金牛', '水瓶', '獅子', '處女', '天秤', '摩羯']",False,[],0,['classic'],False,small,,,2239,https://megapx-assets.dcard.tw/images/8e7c9abc-8d16-4de1-80a0-9015e40af469/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/5b2bc846-a9e1-4a60-b383-29cce5c40d18/orig.jpeg,image/jpeg,200.0,200.0,,,
233,06e07db4-c8b5-4dae-851f-e8a8236e770c,meme,梗圖,梗圖=有梗的圖,303319,False,False,2020-02-04T07:29:33.573Z,2020-08-31T09:47:51.769Z,False,True,False,False,False,True,False,False,False,,,[],[],False,[],0,['image'],False,small,,,2103,https://megapx-assets.dcard.tw/images/926dcd27-8107-4745-a07f-3c07a4baa93d/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/296d5970-41ae-4054-8c73-59171072a0a3/full.jpeg,image/jpeg,200.0,200.0,,,
231,a1aaa6e6-2594-4968-b7dc-e1b14bea96f4,funny,有趣,有趣板歡迎發表任何自己或親友的耍笨事蹟！各種好笑、傻眼、母湯的生活趣事或笑話大全通通都可以在此發表。,257240,False,False,2020-02-04T07:29:13.573Z,2021-04-15T04:04:17.265Z,False,False,False,False,False,True,False,False,False,發文記得加入「話題」分類喲！,,[],"['拒當小嫩嫩告別新手村', '笑話', '梗圖', 'Wootalk', '愛莉莎莎', '黃金12猛漢', '撩妹', '微西斯', '貼圖', '網紅', '火柴人', '您還親切的問我要冰還熱', '傻眼', '奶奶好可愛', '這年頭的香腸都喜歡玩躲貓貓', '搞笑', '童年回憶', '撩妹語錄', '糗事', '惡搞', '接龍', '宿舍生活', '有趣日常']",False,[],0,"['classic', 'link']",False,small,[],[],1195,https://megapx-assets.dcard.tw/images/99728ad7-2b6e-47de-b243-7d83ab34aa8d/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/d45f9407-d676-4e38-9da3-2a99cf2f0895/full.jpeg,image/jpeg,200.0,200.0,,,
340,3bceb81c-574e-4a96-8050-4df56096d0df,money,理財,理財板提供分享各種省錢小撇步、信用卡經驗、虛擬貨幣、股票投資心得等，歡迎你和大家交流各種不錯的理財方式哦～,250439,False,False,2020-02-04T07:47:23.573Z,2020-09-08T07:50:34.029Z,False,False,False,False,False,True,True,False,False,發文記得加入「話題」分類喲！,,"['請益', '虛擬貨幣', '基金', '股票期貨', '保險', '匯率']","['信用卡', '基金', '股票期貨', '虛擬貨幣', '匯率', '儲蓄險', '保險', '比特幣', '投資']",False,[],0,"['classic', 'link']",False,small,[],[],936,https://megapx-assets.dcard.tw/images/ec51eba2-1c07-4f9b-ac14-f46edb57a49c/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/c1ece9f4-ffb2-4758-aac6-4169c9ebaebb/full.jpeg,image/jpeg,200.0,200.0,,,
230,255fd275-fec2-49d2-8e46-2e1557ffaeb0,talk,閒聊,閒聊板提供各種生活周遭大小事的討論，無論是半夜睡不著想找同好，甚至是戴牙套遇到的困擾等...都可在此發文。,235831,False,False,2020-02-04T07:29:03.573Z,2020-09-15T03:23:39.301Z,False,False,False,False,False,True,False,False,False,發文記得加入「話題」分類喲！,,"['醫療', '法律']","['網美媽媽', '廢墟探險', '畢旅', '童年回憶', '泰國浴', '租屋', '牙套', '法律', '困擾', '醫療']",False,[],0,"['classic', 'link']",False,small,[],[],5072,https://megapx-assets.dcard.tw/images/3eac71d2-89ea-4687-baae-49bd0a24d90d/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/dfe250b0-f60c-420a-a099-5eafd107ae31/full.jpeg,image/jpeg,200.0,200.0,,,
